"state","date","fips","cumulative_cases","cumulative_deaths","lag_cases","lag_deaths","cases_is_cumulative","dth_is_cumulative","lead_cases","lead_deaths","lead2_cases","lead2_deaths","cases","deaths"
"Alabama",2020-03-13,"01",6,0,NA,NA,NA,NA,12,0,23,0,NA,NA
"Alabama",2020-03-14,"01",12,0,6,0,1,1,23,0,29,0,6,0
"Alabama",2020-03-15,"01",23,0,12,0,1,1,29,0,39,0,11,0
"Alabama",2020-03-16,"01",29,0,23,0,1,1,39,0,51,0,6,0
"Alabama",2020-03-17,"01",39,0,29,0,1,1,51,0,78,0,10,0
"Alabama",2020-03-18,"01",51,0,39,0,1,1,78,0,106,0,12,0
"Alabama",2020-03-19,"01",78,0,51,0,1,1,106,0,131,0,27,0
"Alabama",2020-03-20,"01",106,0,78,0,1,1,131,0,157,0,28,0
"Alabama",2020-03-21,"01",131,0,106,0,1,1,157,0,196,0,25,0
"Alabama",2020-03-22,"01",157,0,131,0,1,1,196,0,242,0,26,0
"Alabama",2020-03-23,"01",196,0,157,0,1,1,242,0,386,1,39,0
"Alabama",2020-03-24,"01",242,0,196,0,1,1,386,1,538,3,46,0
"Alabama",2020-03-25,"01",386,1,242,0,1,1,538,3,639,4,144,1
"Alabama",2020-03-26,"01",538,3,386,1,1,1,639,4,720,4,152,2
"Alabama",2020-03-27,"01",639,4,538,3,1,1,720,4,830,5,101,1
"Alabama",2020-03-28,"01",720,4,639,4,1,1,830,5,947,11,81,0
"Alabama",2020-03-29,"01",830,5,720,4,1,1,947,11,999,13,110,1
"Alabama",2020-03-30,"01",947,11,830,5,1,1,999,13,1106,28,117,6
"Alabama",2020-03-31,"01",999,13,947,11,1,1,1106,28,1270,32,52,2
"Alabama",2020-04-01,"01",1106,28,999,13,1,1,1270,32,1535,38,107,15
"Alabama",2020-04-02,"01",1270,32,1106,28,1,1,1535,38,1632,44,164,4
"Alabama",2020-04-03,"01",1535,38,1270,32,1,1,1632,44,1840,45,265,6
"Alabama",2020-04-04,"01",1632,44,1535,38,1,1,1840,45,2005,53,97,6
"Alabama",2020-04-05,"01",1840,45,1632,44,1,1,2005,53,2197,64,208,1
"Alabama",2020-04-06,"01",2005,53,1840,45,1,1,2197,64,2498,67,165,8
"Alabama",2020-04-07,"01",2197,64,2005,53,1,1,2498,67,2838,78,192,11
"Alabama",2020-04-08,"01",2498,67,2197,64,1,1,2838,78,3008,80,301,3
"Alabama",2020-04-09,"01",2838,78,2498,67,1,1,3008,80,3262,93,340,11
"Alabama",2020-04-10,"01",3008,80,2838,78,1,1,3262,93,3583,93,170,2
"Alabama",2020-04-11,"01",3262,93,3008,80,1,1,3583,93,3805,104,254,13
"Alabama",2020-04-12,"01",3583,93,3262,93,1,1,3805,104,3953,114,321,0
"Alabama",2020-04-13,"01",3805,104,3583,93,1,1,3953,114,4241,123,222,11
"Alabama",2020-04-14,"01",3953,114,3805,104,1,1,4241,123,4404,137,148,10
"Alabama",2020-04-15,"01",4241,123,3953,114,1,1,4404,137,4572,151,288,9
"Alabama",2020-04-16,"01",4404,137,4241,123,1,1,4572,151,4723,147,163,14
"Alabama",2020-04-17,"01",4572,147,4404,137,1,1,4723,147,4903,160,168,10
"Alabama",2020-04-18,"01",4723,147,4572,151,1,0,4903,160,5078,164,151,0
"Alabama",2020-04-19,"01",4903,160,4723,147,1,1,5078,164,5327,186,180,13
"Alabama",2020-04-20,"01",5078,164,4903,160,1,1,5327,186,5610,201,175,4
"Alabama",2020-04-21,"01",5327,186,5078,164,1,1,5610,201,5832,197,249,22
"Alabama",2020-04-22,"01",5610,197,5327,186,1,1,5832,197,6026,209,283,11
"Alabama",2020-04-23,"01",5832,197,5610,201,1,0,6026,209,6213,213,222,0
"Alabama",2020-04-24,"01",6026,209,5832,197,1,1,6213,213,6421,219,194,12
"Alabama",2020-04-25,"01",6213,213,6026,209,1,1,6421,219,6539,228,187,4
"Alabama",2020-04-26,"01",6421,219,6213,213,1,1,6539,228,6750,242,208,6
"Alabama",2020-04-27,"01",6539,228,6421,219,1,1,6750,242,6925,262,118,9
"Alabama",2020-04-28,"01",6750,242,6539,228,1,1,6925,262,7068,272,211,14
"Alabama",2020-04-29,"01",6925,262,6750,242,1,1,7068,272,7294,289,175,20
"Alabama",2020-04-30,"01",7068,272,6925,262,1,1,7294,289,7611,288,143,10
"Alabama",2020-05-01,"01",7294,288,7068,272,1,1,7611,288,7888,290,226,16
"Alabama",2020-05-02,"01",7611,288,7294,289,1,0,7888,290,8112,298,317,0
"Alabama",2020-05-03,"01",7888,290,7611,288,1,1,8112,298,8437,315,277,2
"Alabama",2020-05-04,"01",8112,298,7888,290,1,1,8437,315,8691,343,224,8
"Alabama",2020-05-05,"01",8437,315,8112,298,1,1,8691,343,9046,369,325,17
"Alabama",2020-05-06,"01",8691,343,8437,315,1,1,9046,369,9385,383,254,28
"Alabama",2020-05-07,"01",9046,369,8691,343,1,1,9385,383,9668,390,355,26
"Alabama",2020-05-08,"01",9385,383,9046,369,1,1,9668,390,9889,393,339,14
"Alabama",2020-05-09,"01",9668,390,9385,383,1,1,9889,393,10164,403,283,7
"Alabama",2020-05-10,"01",9889,393,9668,390,1,1,10164,403,10464,435,221,3
"Alabama",2020-05-11,"01",10164,403,9889,393,1,1,10464,435,10700,450,275,10
"Alabama",2020-05-12,"01",10464,435,10164,403,1,1,10700,450,11101,473,300,32
"Alabama",2020-05-13,"01",10700,450,10464,435,1,1,11101,473,11373,483,236,15
"Alabama",2020-05-14,"01",11101,473,10700,450,1,1,11373,483,11674,485,401,23
"Alabama",2020-05-15,"01",11373,483,11101,473,1,1,11674,485,11771,488,272,10
"Alabama",2020-05-16,"01",11674,485,11373,483,1,1,11771,488,12086,489,301,2
"Alabama",2020-05-17,"01",11771,488,11674,485,1,1,12086,489,12376,504,97,3
"Alabama",2020-05-18,"01",12086,489,11771,488,1,1,12376,504,13052,522,315,1
"Alabama",2020-05-19,"01",12376,504,12086,489,1,1,13052,522,13414,529,290,15
"Alabama",2020-05-20,"01",13052,522,12376,504,1,1,13414,529,13670,541,676,18
"Alabama",2020-05-21,"01",13414,529,13052,522,1,1,13670,541,14149,549,362,7
"Alabama",2020-05-22,"01",13670,541,13414,529,1,1,14149,549,14478,551,256,12
"Alabama",2020-05-23,"01",14149,549,13670,541,1,1,14478,551,14986,566,479,8
"Alabama",2020-05-24,"01",14478,551,14149,549,1,1,14986,566,15650,580,329,2
"Alabama",2020-05-25,"01",14986,566,14478,551,1,1,15650,580,16032,583,508,15
"Alabama",2020-05-26,"01",15650,580,14986,566,1,1,16032,583,16530,591,664,14
"Alabama",2020-05-27,"01",16032,583,15650,580,1,1,16530,591,17031,610,382,3
"Alabama",2020-05-28,"01",16530,591,16032,583,1,1,17031,610,17359,618,498,8
"Alabama",2020-05-29,"01",17031,610,16530,591,1,1,17359,618,17952,630,501,19
